Name,Free,IAP,Gambling
Coin Master,TRUE,TRUE,TRUE
Candy Crush Saga,TRUE,TRUE,TRUE
Roblox,TRUE,TRUE,TRUE
PUBG Mobile,TRUE,TRUE,TRUE
Royal Match,TRUE,TRUE,FALSE
Clash of Clans,TRUE,TRUE,FALSE
8 Ball Pool,TRUE,TRUE,TRUE
State of Survival: Zombie War,TRUE,TRUE,TRUE
Homescapes,TRUE,TRUE,FALSE
Pokemon Go,TRUE,TRUE,TRUE
Gardenscapes,TRUE,TRUE,FALSE
Rise of Kingdoms,TRUE,TRUE,TRUE
Candy Crush Soda Saga,TRUE,TRUE,TRUE
Evony: The King's Return,TRUE,TRUE,TRUE
Fishdom,TRUE,TRUE,FALSE
Clash Royale,TRUE,TRUE,TRUE
RAID: Shadow Legends,TRUE,TRUE,TRUE
Lords Mobile,TRUE,TRUE,TRUE
Solitaire Grand Harvest,TRUE,TRUE,TRUE
Zynga Poker,TRUE,TRUE,TRUE
Bingo Blitz,TRUE,TRUE,TRUE
Project Makeover,TRUE,TRUE,TRUE
Toon Blast,TRUE,TRUE,FALSE
Genshin Impact,TRUE,TRUE,TRUE
The Ants: Underground Kingdom,TRUE,TRUE,TRUE
