Name,Free,IAP,Gambling
Fortnite,TRUE,TRUE,TRUE
CSGO,FALSE,TRUE,TRUE
Dota 2,TRUE,TRUE,TRUE
Lost Ark,TRUE,TRUE,TRUE
Elden Ring,FALSE,FALSE,FALSE
PUBG,TRUE,TRUE,TRUE
Apex,TRUE,TRUE,TRUE
Rust,FALSE,TRUE,TRUE
GTA V,FALSE,TRUE,FALSE
Destiny 2,TRUE,TRUE,TRUE
TF2,TRUE,TRUE,TRUE
FIFA 22,FALSE,TRUE,TRUE
FM 22,FALSE,FALSE,FALSE
Rainbow Six,FALSE,TRUE,TRUE
MIR4,TRUE,TRUE,TRUE
War Thunder,TRUE,TRUE,TRUE
Yu-Gi-Oh Master Duel,FALSE,TRUE,TRUE
HOI4,FALSE,FALSE,FALSE
ARK,FALSE,FALSE,FALSE
Rocket League,TRUE,TRUE,TRUE
Civ VI,FALSE,FALSE,FALSE
Dead by Daylight,FALSE,TRUE,FALSE
Payday 2,FALSE,TRUE,TRUE
Day Z,FALSE,FALSE,FALSE
Warframe,TRUE,TRUE,TRUE
