Name,Free,IAP,Gambling
Elden Ring,FALSE,FALSE,FALSE
Fortnite,TRUE,TRUE,TRUE
Apex,TRUE,TRUE,TRUE
Rust,FALSE,TRUE,TRUE
GTA V,FALSE,TRUE,FALSE
FIFA 22,FALSE,TRUE,TRUE
Destiny 2,TRUE,TRUE,TRUE
Rainbow Six,FALSE,TRUE,TRUE
ARK,FALSE,FALSE,FALSE
Horizon Forbidden West,FALSE,FALSE,FALSE
Dead by Daylight,FALSE,TRUE,FALSE
COD: Warzone,TRUE,TRUE,FALSE
Minecraft,FALSE,TRUE,FALSE
Rocket League,TRUE,TRUE,TRUE
Ghost of Tsushima,FALSE,FALSE,FALSE
Genshin Impact,TRUE,TRUE,TRUE
Gran Turismo 7,TRUE,TRUE,TRUE
NBA 2K22,FALSE,TRUE,TRUE
RDR2,TRUE,TRUE,FALSE
Overwatch,TRUE,TRUE,TRUE
COD: Black Ops,FALSE,TRUE,FALSE
Day Z,FALSE,FALSE,FALSE
Brawlhalla,TRUE,TRUE,TRUE
Dying Light 2,FALSE,TRUE,FALSE
Cyberpunk 2077,FALSE,FALSE,FALSE
