Name,Free,IAP,Gambling
Coin Master,TRUE,TRUE,TRUE
MIR4,TRUE,TRUE,TRUE
Candy Crush Saga,TRUE,TRUE,TRUE
Roblox,TRUE,TRUE,TRUE
Evony: The King's Return,TRUE,TRUE,TRUE
Homescapes,TRUE,TRUE,FALSE
Gardenscapes,TRUE,TRUE,FALSE
Royal Match,TRUE,TRUE,FALSE
State of Survival: Zombie War,TRUE,TRUE,TRUE
RAID: Shadow Legends,TRUE,TRUE,TRUE
Candy Crush Soda Saga,TRUE,TRUE,TRUE
Bingo Blitz,TRUE,TRUE,TRUE
Pokemon Go,TRUE,TRUE,TRUE
Clash of Clans,TRUE,TRUE,FALSE
DRAGON BALL Z DOKKAN BATTLE,TRUE,TRUE,TRUE
Solitaire Grand Harvest,TRUE,TRUE,TRUE
King of Avalon: Dominion,TRUE,TRUE,TRUE
Fishdom,TRUE,TRUE,FALSE
Star Trek Fleet Command,TRUE,TRUE,TRUE
Empires & Puzzles: Match-3 RPG,TRUE,TRUE,TRUE
Family Island,TRUE,TRUE,TRUE
Match Masters,TRUE,TRUE,TRUE
Township,TRUE,TRUE,FALSE
Golf Clash,TRUE,TRUE,TRUE
Top War: Battle Game,TRUE,TRUE,TRUE
