Name,Free,IAP,Gambling
Fortnite,TRUE,TRUE,TRUE
FIFA 22,FALSE,TRUE,TRUE
COD: Warzone,TRUE,TRUE,FALSE
Elden Ring,FALSE,FALSE,FALSE
GTA V,FALSE,TRUE,FALSE
Roblox,TRUE,TRUE,TRUE
Apex,TRUE,TRUE,TRUE
Rainbow Six,FALSE,TRUE,TRUE
Forza H 5,FALSE,TRUE,FALSE
Destiny 2,TRUE,TRUE,TRUE
Rocket League,TRUE,TRUE,TRUE
Minecraft,FALSE,TRUE,FALSE
Guardians of the Galaxy,FALSE,FALSE,FALSE
ARK,FALSE,FALSE,FALSE
F1,FALSE,TRUE,FALSE
AC Valhalla,FALSE,TRUE,FALSE
RDR2,TRUE,TRUE,FALSE
CoD Vanguard,FALSE,TRUE,FALSE
FM 22,FALSE,FALSE,FALSE
Dead by Daylight,FALSE,TRUE,FALSE
Halo Infinite,TRUE,TRUE,FALSE
Sea of Thieves,FALSE,TRUE,FALSE
SW BF II,FALSE,TRUE,TRUE
WWE 2K22,FALSE,TRUE,FALSE
PUBG,TRUE,TRUE,TRUE
